epoch,accuracy,loss,val_accuracy,val_loss
0,0.013888888992369175,4.2591552734375,0.02777777798473835,4.1301655769348145
1,0.02777777798473835,4.043489456176758,0.02777777798473835,4.105961322784424
2,0.0416666679084301,3.889988899230957,0.02777777798473835,4.034660339355469
3,0.0555555559694767,3.7762041091918945,0.0,3.9841723442077637
4,0.0833333358168602,3.6688733100891113,0.0555555559694767,4.016449928283691
5,0.125,3.5903587341308594,0.0,3.998487710952759
6,0.1180555522441864,3.496504068374634,0.0,3.9661149978637695
7,0.125,3.397646188735962,0.0,4.00209903717041
8,0.1458333283662796,3.3108365535736084,0.0555555559694767,3.996735095977783
9,0.1458333283662796,3.237698554992676,0.0555555559694767,3.945291757583618
